Set4,,,Set1,,,Set2,,,Set3,,
MINING,166,,SCALE,156,,WAY,5498,,MALIGNANT,12,
EXAMINER,12,,WINTER,610,,THIRTY,341,,LACK,414,
CLEAR,587,,GUILTY,161,,SUFFICIENT,205,,FATHER,3235,
ORCHESTRA,146,,TRUSTWORTHY,13,,SUPERB,49,,BORROW,230,
EXCEPT,933,,CARRIAGE,111,,WARNING,131,,DRIP,94,
STICK,420,,ECONOMIC,315,,DIRTY,221,,FORGIVEN,48,
FURTHER,479,,TAPE,57,,ALLOW,690,,JOB,1724,
TRUST,418,,FRONT,1094,,SYNTHESIS,2,,AMBITIOUS,50,
TELL,3800,,THINK,5392,,NOBILITY,24,,CARRY,1500,
WEAR,950,,BET,286,,FORMAL,166,,EARTH,448,
